Year,Month,monthly_Anomaly,monthly_Unc.,annual_Anomaly,annual_Unc.,five_yr_Anomaly,five_year_Unc.,ten_yr_Anomaly,ten_yr_Unc.,twenty_yr_Anomaly,twenty_yr_Unc.
1872,1,-0.45,0.322,-0.32,0.107,-0.285,0.078,-0.275,0.08,-0.245,0.075
1872,2,-0.401,0.271,-0.307,0.107,-0.285,0.078,-0.273,0.079,-0.242,0.075
1872,3,-0.347,0.213,-0.29,0.106,-0.286,0.078,-0.27,0.079,-0.24,0.075
1872,4,-0.352,0.215,-0.286,0.106,-0.288,0.078,-0.27,0.078,-0.239,0.075
1872,5,-0.177,0.181,-0.277,0.102,-0.291,0.078,-0.267,0.078,-0.238,0.075
1872,6,-0.256,0.164,-0.285,0.1,-0.29,0.077,-0.266,0.077,-0.239,0.074
1872,7,-0.107,0.182,-0.273,0.097,-0.293,0.077,-0.263,0.076,-0.239,0.074
1872,8,-0.035,0.187,-0.246,0.097,-0.29,0.075,-0.259,0.076,-0.238,0.074
1872,9,-0.187,0.187,-0.239,0.095,-0.292,0.075,-0.256,0.076,-0.236,0.074
1872,10,-0.198,0.181,-0.247,0.095,-0.294,0.075,-0.255,0.076,-0.236,0.074
1872,11,-0.421,0.266,-0.254,0.097,-0.295,0.074,-0.255,0.075,-0.235,0.074
1872,12,-0.486,0.265,-0.25,0.099,-0.298,0.074,-0.254,0.074,-0.234,0.074
1873,1,-0.305,0.253,-0.255,0.099,-0.3,0.074,-0.25,0.073,-0.235,0.074
1873,2,-0.077,0.264,-0.264,0.101,-0.3,0.074,-0.241,0.07,-0.236,0.073
1873,3,-0.263,0.185,-0.279,0.107,-0.301,0.074,-0.234,0.07,-0.235,0.073
1873,4,-0.451,0.215,-0.283,0.106,-0.299,0.074,-0.23,0.069,-0.236,0.073
1873,5,-0.266,0.184,-0.276,0.102,-0.303,0.073,-0.23,0.069,-0.236,0.073
1873,6,-0.201,0.173,-0.254,0.099,-0.302,0.073,-0.228,0.068,-0.235,0.073
1873,7,-0.168,0.175,-0.246,0.098,-0.299,0.071,-0.228,0.068,-0.234,0.073
1873,8,-0.144,0.176,-0.262,0.095,-0.293,0.07,-0.226,0.067,-0.234,0.072
